old_path	new_path	bucket	citers_repointed	frozen_citers_left_stale_M2
docs/fight-class-taxonomy.md	docs/archive/fight-class-taxonomy.md	bucket-A	-	docs/enemy-dossiers/fight-class-labels.yaml; docs/surplus-week-manifest-2026-08-05.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/furina-strength-findings-2026-07-28.md	docs/archive/furina-strength-findings-2026-07-28.md	bucket-A	-	docs/v6-rebaseline-sweep-2026-08-06.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/mutation-round-2026-08-05.md	docs/archive/mutation-round-2026-08-05.md	bucket-A	-	docs/surplus-week-manifest-2026-08-05.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/playtest2-triage-2026-07-28.md	docs/archive/playtest2-triage-2026-07-28.md	bucket-A	-	docs/sprint-salon-ui-2026-07-28.md; docs/sprint-salon-ui-log-2026-07-28.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/playtest4-triage-2026-08-04.md	docs/archive/playtest4-triage-2026-08-04.md	bucket-A	-	docs/backlog-2026-07-29.md; docs/playtest4-notes-2026-08-04.md; docs/surplus-week-manifest-2026-08-05.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/registration-hunt-report-2026-08-06.md	docs/archive/registration-hunt-report-2026-08-06.md	bucket-A	docs/payoff-reach-reregistration-draft-2026-08-06.md	docs/roster-anchor-v14-2026-08-05.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/s5-animation-tech-note.md	docs/archive/s5-animation-tech-note.md	bucket-A	-	docs/animation-capability-memo.md; docs/surplus-week-manifest-2026-08-05.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/silent-anchor-kickoff-v1.md	docs/archive/silent-anchor-kickoff-v1.md	bucket-A	-	docs/silent-anchor-sprint-log-2026-07-27.md; docs/silent-anchor-sprint-plan.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/silent-anchor-sprint-plan.md	docs/archive/silent-anchor-sprint-plan.md	bucket-A	-	docs/silent-anchor-sprint-log-2026-07-27.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/sprint-fanfare-compensation-log-2026-07-28.md	docs/archive/sprint-fanfare-compensation-log-2026-07-28.md	bucket-A	-	docs/v6-rebaseline-sweep-2026-08-06.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/sprint-kokomi-instrument-log-2026-07-29.md	docs/archive/sprint-kokomi-instrument-log-2026-07-29.md	bucket-A	-	docs/brief-kokomi-pool-fill.md; docs/lore-fidelity-audit-2026-08-05.md; docs/roster-anchor-v14-2026-08-05.md; docs/roster-anchor-v14-v6-2026-08-06.md; docs/sitting-prep-2026-08-05.md; docs/v6-rebaseline-sweep-2026-08-06.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/sprint-pilot-gap-2026-07-28.md	docs/archive/sprint-pilot-gap-2026-07-28.md	bucket-A	tier0/pilot/policy.py; tier05/exp_pilot_gap.py	docs/sprint-pilot-gap-log-2026-07-28.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/sprint-pilot-gap-log-2026-07-28.md	docs/archive/sprint-pilot-gap-log-2026-07-28.md	bucket-A	tier05/exp_pilot_gap.py	docs/brief-coop-charter-items.md; docs/sprint-fanfare-rework-2026-07-28.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/sprint-salon-ui-2026-07-28.md	docs/archive/sprint-salon-ui-2026-07-28.md	bucket-A	tier05/exp_salon_ui.py	docs/sprint-salon-ui-log-2026-07-28.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/sprint-salon-ui-log-2026-07-28.md	docs/archive/sprint-salon-ui-log-2026-07-28.md	bucket-A	-	review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/sprint-tooling-hardening-log-2026-07-29.md	docs/archive/sprint-tooling-hardening-log-2026-07-29.md	bucket-A	-	review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/reactions-corpus-2026-08-05.md	docs/archive/reactions-corpus-2026-08-05.md	bucket-A	tier0/README.md; tier05/exp_reactions_corpus.py	docs/instrument-redteam-2026-08-05.md; docs/sitting-prep-2026-08-05.md; docs/surplus-week-manifest-2026-08-05.md; review/redteam/fixtures/track_o/s08-amp-before-multipliers.py; review/redteam/fixtures/track_o/s08-corpse-auras.py; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/animation-capability-memo.md	docs/archive/animation-capability-memo.md	bucket-C	docs/animation-spike-skeleton2d-kokomi-2026-08-06.md; docs/dockets/engineering-backlog.md; tools/skeleton2d_spike/README.md	docs/animation-downfall-investigation-2026-08-05.md; docs/slot5-candidates-2026-08-05.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv; review/stage-clear/rb-move-manifest.tsv
docs/animation-downfall-investigation-2026-08-05.md	docs/archive/animation-downfall-investigation-2026-08-05.md	bucket-C	docs/animation-spike-skeleton2d-kokomi-2026-08-06.md; tools/probe_spine_pck/README.md; tools/probe_spine_pck/SpineProbe/manifest.json	docs/surplus-week-manifest-2026-08-05.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/instrument-redteam-2026-08-05.md	docs/archive/instrument-redteam-2026-08-05.md	bucket-C	docs/registry/identifiers.md; docs/registry/user-queue.md; tier0/tests/test_pin_o1_combat_denominators.py; tier0/tests/test_track_o_s10.py	docs/archive/reactions-corpus-2026-08-05.md; docs/sitting-prep-2026-08-05.md; docs/surplus-week-manifest-2026-08-05.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv; review/stage-clear/rb-move-manifest.tsv
docs/red-pen-2026-07-26.md	docs/archive/red-pen-2026-07-26.md	bucket-C	docs/furina-kickoff-v0.1.md; docs/registry/user-queue.md; docs/teyvat-spire-design-principles.md; klee-mod/KleeCode/Powers/ReactionEffects.cs; klee-mod/KleeCode/Relics/UpgradedStarterRelics.cs; tier0/tests/test_starter_relic_upgrades.py	docs/animation-sprint-2-log.md; docs/archive/ship-what-we-know-sprint-log.md; docs/open-playtest-items.md; docs/sitting-prep-2026-08-05.md; review/ledger-audit/hygiene-report.md; review/parity-sweep/findings-ledger.md; review/parity-sweep/triage-memo.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv; review/stage-clear/class-p-candidates.md
docs/silent-anchor-sprint-log-2026-07-27.md	docs/archive/silent-anchor-sprint-log-2026-07-27.md	bucket-C	docs/registry/user-queue.md; tools/card_distinctness_report.py	docs/archive/silent-anchor-kickoff-v1.md; docs/open-playtest-items.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv; review/stage-clear/rb-move-manifest.tsv
docs/sprint-art-and-a7-2026-07-29.md	docs/archive/sprint-art-and-a7-2026-07-29.md	bucket-C	tier0/tests/test_a7_port.py	docs/sprint-art-and-a7-log-2026-07-29.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/sprint-fanfare-compensation-2026-07-28.md	docs/archive/sprint-fanfare-compensation-2026-07-28.md	bucket-C	tier0/tests/test_fanfare_compensation.py; tier05/exp_fanfare_compensation.py	docs/archive/sprint-fanfare-compensation-log-2026-07-28.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/sprint-fanfare-rework-2026-07-28.md	docs/archive/sprint-fanfare-rework-2026-07-28.md	bucket-C	docs/teyvat-spire-design-principles.md; tier0/tests/test_fanfare_compensation.py	docs/sitting-prep-2026-08-05.md; docs/sprint-fanfare-rework-log-2026-07-28.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv; review/stage-clear/rb-move-manifest.tsv
docs/sprint-understudy-p15-log-2026-08-05.md	docs/archive/sprint-understudy-p15-log-2026-08-05.md	bucket-C	docs/dockets/engineering-backlog.md; docs/registry/user-queue.md; understudy/README.md; understudy/trace_replay.py	docs/backlog-2026-07-29.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv; review/stage-clear/class-p-candidates.md
docs/tier05-perf-and-ironclad-act3-notes.md	docs/archive/tier05-perf-and-ironclad-act3-notes.md	bucket-C	tools/encounter_audit.py	review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/understudy-p0-findings.md	docs/archive/understudy-p0-findings.md	bucket-C	docs/atlas/vendor-sts2-mcp.md; understudy/README.md; vendor/README.md; vendor/STS2_MCP/PROVENANCE.md	docs/understudy-phase0-report.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/act2-act3-roster-research.md	docs/archive/act2-act3-roster-research.md	bucket-D	tier05/content/act2_pool.yaml; tier05/content/act3_pool.yaml; tier05/content/relics.yaml	docs/run-model-rework-plan.md; review/ancients-gallery/gallery.md; review/enemy-atlas/atlas.md; review/enemy-atlas/reskin-gallery.md; review/parity-sweep/noncard-findings-ledger.md; review/potion-relic-gallery/gallery.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/companion-value-vs-colorless-study.md	docs/archive/companion-value-vs-colorless-study.md	bucket-D	-	docs/archive/shop-companion-channel-plan.md; docs/archive/shop-companion-channel-sprint.md; docs/lore-fidelity-audit-2026-08-05.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/klee-real-battery-calibration.md	docs/archive/klee-real-battery-calibration.md	bucket-D	-	review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/lore-fidelity-audit-2026-08-05.md	docs/archive/lore-fidelity-audit-2026-08-05.md	bucket-D	docs/registry/identifiers.md; docs/registry/user-queue.md	docs/sitting-prep-2026-08-05.md; docs/surplus-week-manifest-2026-08-05.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv; review/stage-clear/rb-move-manifest.tsv
docs/playtest3-notes-2026-07-28.md	docs/archive/playtest3-notes-2026-07-28.md	bucket-D	docs/teyvat-spire-design-principles.md	docs/archive/furina-strength-findings-2026-07-28.md; docs/sitting-prep-2026-08-05.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
