old_path	new_path	bucket	citers_repointed	frozen_citers_left_stale_M2
docs/fight-class-taxonomy.md	docs/archive/fight-class-taxonomy.md	bucket-A	-	docs/enemy-dossiers/fight-class-labels.yaml; docs/surplus-week-manifest-2026-08-05.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/furina-strength-findings-2026-07-28.md	docs/archive/furina-strength-findings-2026-07-28.md	bucket-A	-	docs/v6-rebaseline-sweep-2026-08-06.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/mutation-round-2026-08-05.md	docs/archive/mutation-round-2026-08-05.md	bucket-A	-	docs/surplus-week-manifest-2026-08-05.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/playtest2-triage-2026-07-28.md	docs/archive/playtest2-triage-2026-07-28.md	bucket-A	-	docs/sprint-salon-ui-2026-07-28.md; docs/sprint-salon-ui-log-2026-07-28.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/playtest4-triage-2026-08-04.md	docs/archive/playtest4-triage-2026-08-04.md	bucket-A	-	docs/backlog-2026-07-29.md; docs/playtest4-notes-2026-08-04.md; docs/surplus-week-manifest-2026-08-05.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/registration-hunt-report-2026-08-06.md	docs/archive/registration-hunt-report-2026-08-06.md	bucket-A	docs/payoff-reach-reregistration-draft-2026-08-06.md	docs/roster-anchor-v14-2026-08-05.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/s5-animation-tech-note.md	docs/archive/s5-animation-tech-note.md	bucket-A	-	docs/animation-capability-memo.md; docs/surplus-week-manifest-2026-08-05.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/silent-anchor-kickoff-v1.md	docs/archive/silent-anchor-kickoff-v1.md	bucket-A	-	docs/silent-anchor-sprint-log-2026-07-27.md; docs/silent-anchor-sprint-plan.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/silent-anchor-sprint-plan.md	docs/archive/silent-anchor-sprint-plan.md	bucket-A	-	docs/silent-anchor-sprint-log-2026-07-27.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/sprint-fanfare-compensation-log-2026-07-28.md	docs/archive/sprint-fanfare-compensation-log-2026-07-28.md	bucket-A	-	docs/v6-rebaseline-sweep-2026-08-06.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/sprint-kokomi-instrument-log-2026-07-29.md	docs/archive/sprint-kokomi-instrument-log-2026-07-29.md	bucket-A	-	docs/brief-kokomi-pool-fill.md; docs/lore-fidelity-audit-2026-08-05.md; docs/roster-anchor-v14-2026-08-05.md; docs/roster-anchor-v14-v6-2026-08-06.md; docs/sitting-prep-2026-08-05.md; docs/v6-rebaseline-sweep-2026-08-06.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/sprint-pilot-gap-2026-07-28.md	docs/archive/sprint-pilot-gap-2026-07-28.md	bucket-A	tier0/pilot/policy.py; tier05/exp_pilot_gap.py	docs/sprint-pilot-gap-log-2026-07-28.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/sprint-pilot-gap-log-2026-07-28.md	docs/archive/sprint-pilot-gap-log-2026-07-28.md	bucket-A	tier05/exp_pilot_gap.py	docs/brief-coop-charter-items.md; docs/sprint-fanfare-rework-2026-07-28.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/sprint-salon-ui-2026-07-28.md	docs/archive/sprint-salon-ui-2026-07-28.md	bucket-A	tier05/exp_salon_ui.py	docs/sprint-salon-ui-log-2026-07-28.md; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/sprint-salon-ui-log-2026-07-28.md	docs/archive/sprint-salon-ui-log-2026-07-28.md	bucket-A	-	review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/sprint-tooling-hardening-log-2026-07-29.md	docs/archive/sprint-tooling-hardening-log-2026-07-29.md	bucket-A	-	review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
docs/reactions-corpus-2026-08-05.md	docs/archive/reactions-corpus-2026-08-05.md	bucket-A	tier0/README.md; tier05/exp_reactions_corpus.py	docs/instrument-redteam-2026-08-05.md; docs/sitting-prep-2026-08-05.md; docs/surplus-week-manifest-2026-08-05.md; review/redteam/fixtures/track_o/s08-amp-before-multipliers.py; review/redteam/fixtures/track_o/s08-corpse-auras.py; review/stage-clear/citation-graph.tsv; review/stage-clear/citation-indegree.tsv
