# Pinned role x tempo coverage gaps -- the debt list `--gate` measures
# NEW findings against. Regenerate with --write-debt ONLY when the change
# is intended and said out loud; a shrinking list is USUALLY progress and
# a growing one is a regression, and both must be visible in a diff.
#
# USUALLY, and the exception already happened. This list went 30 -> 19 on
# 2026-08-04 and NOT ONE GAP WAS FIXED: R90/1c changed the comparison
# POPULATION from whole canon pools to canon packages, so some cells
# stopped being under-floor because the floor moved and some archetypes
# stopped being measured at all. The itemised delta is in
# docs/sprint-axis-validity-track-a-log-2026-08-04.md. A shrink is only
# progress when the tags moved; when the INSTRUMENT moved it is a change
# of subject, and reading it as progress is the mistake this comment
# exists to prevent.
#
# SAID OUT LOUD, 2026-08-07 (L4q / R129): 19 -> 18. The cell that left is
# kokomi/priest frontload|late, and it left for the SECOND kind of reason
# -- the INSTRUMENT moved, not the pool. R129 adopted
# effect_walk.printed_floor for the pays_at_zero tag, so the three kokomi
# pile-readers that print a base (pearl_barrage 5+, undertow 4+,
# depths_judgment 10+) now carry `frontload` alongside `scaling`. Nobody
# wrote a card. The cell is covered because the tag rule stopped
# disagreeing with the sheets' own comments; read it as a re-measurement,
# not as progress.
#
# SAID OUT LOUD, 2026-08-24 (EB-118 sec.5.2): 16 -> 17. The cell that
# ARRIVES is furina/spotlight frontload|late. A growing list is what this
# header calls a regression, so read what happened before reading it as
# one: nobody deleted a frontload card. Five spotlight Powers covered
# that cell by TOUCHING THE FANFARE METER -- a card that touches a meter
# inherits the solves of that meter's payoff set -- and what they touched
# it with was the incidental `raise_fanfare_cap` rider EB-118 sec.5.2
# removed. The coverage was inherited from a printed line the packet
# measured as close to inert, so this is a DISCLOSURE of a gap the pool
# already had in play, not one the batch opened. Filling it is Phase 3's
# business (Spotlight content). No floor moved to absorb it; none may.
#
#
# SAID OUT LOUD HERE, 2026-08-25 (EB-118 Phase-3 Window 1): 17 -> 18. The
# cell that ARRIVES is furina/spotlight frontload|mid, and it is the SAME
# SHAPE as the entry above -- inherited coverage, disclosed rather than
# opened. Rain of Roses lost its `spotlight` tag in the label pass because
# it reads no Spotlight state of any kind; before, the spotlight sub-pool
# held 18 cards of which 5 covered the cell (27.8% against a floor of
# 25.0%), and after it holds 17 of which 4 do (23.5%). Nobody deleted a
# frontload card and nothing was lost: a card that was never doing the job
# stopped being counted as though it were. The measurement and its
# arithmetic are published at review/active/eb118-w1-postread-2026-08-25.txt
# (the pre-registration's build-time fact (b)); this note is the register
# carrying it, which the header above requires and W1's landing missed.
# Window 2 (2026-08-25) moved this list by NOTHING: tighten_the_cords went
# [generic]/glue -> [priest]/payoff and the gate stayed at 18 against 18.
#
# SAID OUT LOUD HERE, 2026-08-25 (EB-118 Phase-3 Window 3, R211): 18 -> 17,
# and this one IS progress rather than a change of subject. The cell that
# LEAVES is furina/spotlight frontload|mid -- the entry the note directly
# above disclosed at Window 1 -- and it leaves because a card was WRITTEN
# for it. `take_it_from_the_top` is a spotlight-tagged Uncommon whose
# derived tags are solve [block, frontload] and fight band [mid], so the
# sub-pool goes from 17 cards of which 4 covered the cell to 18 of which 5
# do. No floor moved and no instrument moved; the tags were derived by
# `suggest_role_tempo_tags.py --land`, exactly as every other row's are.
# Window 3's other five rows move this list by NOTHING: the three Klee
# sinks derive solves against cells klee already covers, and all three
# Kokomi rows are rewrites inside pools whose gaps are elsewhere.
#
# SAID OUT LOUD HERE, 2026-08-30 (EB-192 / R231): 17 -> 18, and it is a
# change of SUBJECT rather than a regression. The canon anchor that
# klee/spark and kokomi/commander are measured against was REBUILT:
# `regent_forge` was a regex union of Regent's Stars with the unrelated
# Forge card and ran about half Forge-only, and `regent_stars` replaces it
# with the decompile-sourced census (generators, spenders, readers). The
# package goes 19 -> 35 members, every one of its cells moves, and four
# cells it used to sit at zero in stop being identity exemptions. Three
# rows move: klee/spark block|mid LEAVES (its floor fell 10.5 -> 5.7 and
# klee/spark already covered it), while klee/spark frontload|early and
# klee/generic scaling|mid ARRIVE (the anchor's frontload|early demand
# rose 21.1 -> 37.1; the DEFAULT floor set gained scaling|mid once the
# Regent package stopped being zero there). Nobody wrote or deleted a
# card.
#
# SAID OUT LOUD HERE, 2026-08-31 (EB-252): 18 -> 20, and both arrivals
# are canon-POPULATION moves, not pool regressions. The local sts2.dll
# went 0.107.1 -> 0.111.0 and every canon pool gained three cards
# (87/88 -> 90/91), so all five packages were recounted: silent_poison
# 12 -> 13, defect_orbs 41 -> 42, ironclad_strength 8 -> 10, regent_stars
# 35 -> 36. Not one Klee number moved by a tenth; the floors moved under
# them.
#
# klee/generic block|late ARRIVES because the cell had never been
# MEASURED. ironclad_strength sat at 0.0% there, which made `block|late`
# an identity exemption in the DEFAULT set; one of that package's two new
# members blocks in the late band (10.0%), so all five are non-zero and
# the cell becomes mandatory at 7.7% -- silent_poison's 1-of-13, the
# minimum. What it then measures is real sheet shape and not an
# instrument fault: ten of the twenty klee/generic cards carry `block`
# and nine of them are early-band only, so ONE card still blocks late
# (5.0%). Klee's generic defence is front-loaded and expires; the
# instrument simply started asking.
#
# klee/spark scaling|early ARRIVES on a raised anchor. The Regent package
# gained a second early-band scaler, so the demand went 2.9% (1-of-35) ->
# 5.6% (2-of-36) while klee/spark stayed at one card (4.2%, 1-of-24). It
# was clearing a ONE-CARD canon floor by 1.3 points and now misses a
# two-card one -- a thin pass that was always one canon card from
# failing, now disclosed rather than opened.
#
# Nobody wrote or deleted a card for either line, and no floor was moved
# to absorb them; none may be. Both are offered to [USER] as DEBT at the
# PR, and merging accepts them as debt.
# Every line is a COVERAGE GAP in a pool. No line names a card, and none
# ever can: this lint is floors-only (charter A0.2(1)).
character	archetype	cell
furina	salon	frontload|late
furina	spotlight	frontload|late
furina	spotlight	scaling|late
klee	demolition	block|early
klee	demolition	block|late
klee	demolition	block|mid
klee	demolition	frontload|early
klee	demolition	scaling|mid
klee	demolition	velocity|mid
klee	generic	block|late
klee	generic	scaling|mid
klee	reaction	block|late
klee	reaction	scaling|late
klee	reaction	scaling|mid
klee	spark	block|late
klee	spark	frontload|early
klee	spark	scaling|early
kokomi	priest	scaling|late
kokomi	priest	velocity|late
kokomi	priest	velocity|mid
